Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,30,Saturday,14,42,5
2023,9,30,Saturday,15,5,4
2023,9,30,Saturday,15,31,167
2023,9,30,Saturday,15,32,36
2023,9,30,Saturday,15,41,3
2023,9,30,Saturday,15,42,1
2023,9,30,Saturday,16,31,127
2023,9,30,Saturday,16,32,25
2023,9,30,Saturday,16,41,2
2023,9,30,Saturday,16,42,5
2023,9,30,Saturday,17,5,1
2023,9,30,Saturday,17,31,105
2023,9,30,Saturday,17,32,19
2023,9,30,Saturday,17,41,4
2023,9,30,Saturday,17,42,2
2023,9,30,Saturday,18,5,2
2023,9,30,Saturday,18,31,88
2023,9,30,Saturday,18,32,24
2023,9,30,Saturday,18,42,3
2023,9,30,Saturday,19,5,3
2023,9,30,Saturday,19,31,66
2023,9,30,Saturday,19,32,16
2023,9,30,Saturday,19,41,1
2023,9,30,Saturday,19,42,2
2023,9,30,Saturday,20,5,2
2023,9,30,Saturday,20,31,37
2023,9,30,Saturday,20,32,13
2023,9,30,Saturday,20,42,2
2023,9,30,Saturday,21,5,1
2023,9,30,Saturday,21,31,38
2023,9,30,Saturday,21,32,11
2023,9,30,Saturday,22,31,53
2023,9,30,Saturday,22,32,12
2023,9,30,Saturday,23,5,1
2023,9,30,Saturday,23,31,81
2023,9,30,Saturday,23,32,23
2023,9,30,Saturday,23,42,5
2023,10,1,Sunday,0,31,108
2023,10,1,Sunday,0,32,7
2023,10,1,Sunday,0,42,2
2023,10,1,Sunday,1,5,1
2023,10,1,Sunday,1,31,31
2023,10,1,Sunday,1,32,2
2023,10,1,Sunday,1,42,4
2023,10,1,Sunday,2,5,9
2023,10,1,Sunday,2,31,22
2023,10,1,Sunday,2,32,2
2023,10,1,Sunday,2,41,1
2023,10,1,Sunday,2,42,3
2023,10,1,Sunday,3,5,5
2023,10,1,Sunday,3,31,22
2023,10,1,Sunday,3,32,4
2023,10,1,Sunday,3,41,1
2023,10,1,Sunday,4,5,9
2023,10,1,Sunday,4,31,20
2023,10,1,Sunday,4,32,4
2023,10,1,Sunday,4,41,1
2023,10,1,Sunday,4,42,2
2023,10,1,Sunday,5,5,9
2023,10,1,Sunday,5,31,38
2023,10,1,Sunday,5,32,7
2023,10,1,Sunday,5,41,3
2023,10,1,Sunday,5,42,2
2023,10,1,Sunday,6,5,13
2023,10,1,Sunday,6,31,47
2023,10,1,Sunday,6,32,14
2023,10,1,Sunday,6,41,6
2023,10,1,Sunday,6,42,4
2023,10,1,Sunday,7,5,7
2023,10,1,Sunday,7,31,74
2023,10,1,Sunday,7,32,17
2023,10,1,Sunday,7,41,5
2023,10,1,Sunday,7,42,7
2023,10,1,Sunday,8,5,10
2023,10,1,Sunday,8,31,63
2023,10,1,Sunday,8,32,15
2023,10,1,Sunday,8,41,4
2023,10,1,Sunday,8,42,5
2023,10,1,Sunday,9,5,1
2023,10,1,Sunday,9,31,29
2023,10,1,Sunday,9,32,10
2023,10,1,Sunday,9,41,2
2023,10,1,Sunday,10,5,1
2023,10,1,Sunday,10,31,24
2023,10,1,Sunday,10,32,7
2023,10,1,Sunday,10,41,5
2023,10,1,Sunday,10,42,1
2023,10,1,Sunday,11,5,2
2023,10,1,Sunday,11,31,29
2023,10,1,Sunday,11,32,9
2023,10,1,Sunday,11,41,6
2023,10,1,Sunday,11,42,2
2023,10,1,Sunday,12,5,2
2023,10,1,Sunday,12,31,40
2023,10,1,Sunday,12,32,10
2023,10,1,Sunday,12,41,5
2023,10,1,Sunday,12,42,1
2023,10,1,Sunday,13,31,28
2023,10,1,Sunday,13,32,10
2023,10,1,Sunday,13,41,5
2023,10,1,Sunday,13,42,1
2023,10,1,Sunday,14,31,36
2023,10,1,Sunday,14,32,7
2023,10,1,Sunday,14,41,2
2023,10,1,Sunday,14,42,2
2023,10,1,Sunday,15,31,45
2023,10,1,Sunday,15,32,8
2023,10,1,Sunday,15,41,3
2023,10,1,Sunday,16,31,30
2023,10,1,Sunday,16,32,11
2023,10,1,Sunday,16,41,10
2023,10,1,Sunday,16,42,1
2023,10,1,Sunday,17,31,30
2023,10,1,Sunday,17,32,15
2023,10,1,Sunday,17,41,6
2023,10,1,Sunday,17,42,1
2023,10,1,Sunday,18,5,3
2023,10,1,Sunday,18,31,60
2023,10,1,Sunday,18,32,11
2023,10,1,Sunday,18,41,3
2023,10,1,Sunday,18,42,1
2023,10,1,Sunday,19,5,4
2023,10,1,Sunday,19,31,44
2023,10,1,Sunday,19,32,9
2023,10,1,Sunday,19,41,2
2023,10,1,Sunday,19,42,1
2023,10,1,Sunday,20,5,3
2023,10,1,Sunday,20,31,48
2023,10,1,Sunday,20,32,13
2023,10,1,Sunday,20,42,1
2023,10,1,Sunday,21,5,1
2023,10,1,Sunday,21,31,36
2023,10,1,Sunday,21,32,9
2023,10,1,Sunday,21,42,2
2023,10,1,Sunday,22,5,18
2023,10,1,Sunday,22,31,30
2023,10,1,Sunday,22,32,13
2023,10,1,Sunday,22,42,4
2023,10,1,Sunday,23,5,15
2023,10,1,Sunday,23,31,40
2023,10,1,Sunday,23,32,9
2023,10,1,Sunday,23,42,10
2023,10,2,Monday,0,5,36
2023,10,2,Monday,0,31,17
2023,10,2,Monday,0,32,5
2023,10,2,Monday,0,42,8
2023,10,2,Monday,1,5,37
2023,10,2,Monday,1,31,14
